timestamp,temperature,humidity,pressure
2023-10-01T12:00:00,25.3,60,1013.2
2023-10-01T12:01:00,25.4,59,1013.1
2023-10-01T12:02:00,25.5,58,1013.0
2023-10-01T12:03:00,25.6,57,1012.9
2023-10-01T12:04:00,25.7,56,1012.8
2023-10-01T12:05:00,25.8,55,1012.7
2023-10-01T12:06:00,25.9,54,1012.6
2023-10-01T12:07:00,26.0,53,1012.5
2023-10-01T12:08:00,26.1,52,1012.4
2023-10-01T12:09:00,26.2,51,1012.3
2023-10-01T12:10:00,26.3,50,1012.2
2023-10-01T12:11:00,26.4,49,1012.1
2023-10-01T12:12:00,26.5,48,1012.0
2023-10-01T12:13:00,26.6,47,1011.9
2023-10-01T12:14:00,26.7,46,1011.8
2023-10-01T12:15:00,26.8,45,1011.7
2023-10-01T12:16:00,26.9,44,1011.6
2023-10-01T12:17:00,27.0,43,1011.5
2023-10-01T12:18:00,27.1,42,1011.4
2023-10-01T12:19:00,27.2,41,1011.3
2023-10-01T12:20:00,27.3,40,1011.2
2023-10-01T12:21:00,27.4,39,1011.1
2023-10-01T12:22:00,27.5,38,1011.0
2023-10-01T12:23:00,27.6,37,1010.9
2023-10-01T12:24:00,27.7,36,1010.8
2023-10-01T12:25:00,27.8,35,1010.7
2023-10-01T12:26:00,27.9,34,1010.6
2023-10-01T12:27:00,28.0,33,1010.5
2023-10-01T12:28:00,28.1,32,1010.4
2023-10-01T12:29:00,28.2,31,1010.3
2023-10-01T12:30:00,28.3,30,1010.2
2023-10-01T12:31:00,28.4,29,1010.1
2023-10-01T12:32:00,28.5,28,1010.0
2023-10-01T12:33:00,28.6,27,1009.9
2023-10-01T12:34:00,28.7,26,1009.8
2023-10-01T12:35:00,28.8,25,1009.7
2023-10-01T12:36:00,28.9,24,1009.6
2023-10-01T12:37:00,29.0,23,1009.5
2023-10-01T12:38:00,29.1,22,1009.4
2023-10-01T12:39:00,29.2,21,1009.3
2023-10-01T12:40:00,29.3,20,1009.2
2023-10-01T12:41:00,29.4,19,1009.1
2023-10-01T12:42:00,29.5,18,1009.0
2023-10-01T12:43:00,29.6,17,1008.9
2023-10-01T12:44:00,29.7,16,1008.8
2023-10-01T12:45:00,29.8,15,1008.7
2023-10-01T12:46:00,29.9,14,1008.6
2023-10-01T12:47:00,30.0,13,1008.5
2023-10-01T12:48:00,30.1,12,1008.4
2023-10-01T12:49:00,30.2,11,1008.3
2023-10-01T12:50:00,30.3,10,1008.2
2023-10-01T12:51:00,30.4,9,1008.1
2023-10-01T12:52:00,30.5,8,1008.0
2023-10-01T12:53:00,30.6,7,1007.9
2023-10-01T12:54:00,30.7,6,1007.8
2023-10-01T12:55:00,30.8,5,1007.7
2023-10-01T12:56:00,30.9,4,1007.6
2023-10-01T12:57:00,31.0,3,1007.5
2023-10-01T12:58:00,31.1,2,1007.4
2023-10-01T12:59:00,31.2,1,1007.3
2023-10-01T13:00:00,31.3,0,1007.2
2023-10-01T13:01:00,31.4,1,1007.1
2023-10-01T13:02:00,31.5,2,1007.0
2023-10-01T13:03:00,31.6,3,1006.9
2023-10-01T13:04:00,31.7,4,1006.8
2023-10-01T13:05:00,31.8,5,1006.7
2023-10-01T13:06:00,31.9,6,1006.6
2023-10-01T13:07:00,32.0,7,1006.5
2023-10-01T13:08:00,32.1,8,1006.4
2023-10-01T13:09:00,32.2,9,1006.3
2023-10-01T13:10:00,32.3,10,1006.2
2023-10-01T13:11:00,32.4,11,1006.1
2023-10-01T13:12:00,32.5,12,1006.0
2023-10-01T13:13:00,32.6,13,1005.9
2023-10-01T13:14:00,32.7,14,1005.8
2023-10-01T13:15:00,32.8,15,1005.7
2023-10-01T13:16:00,32.9,16,1005.6
2023-10-01T13:17:00,33.0,17,1005.5
2023-10-01T13:18:00,33.1,18,1005.4
2023-10-01T13:19:00,33.2,19,1005.3
2023-10-01T13:20:00,33.3,20,1005.2
2023-10-01T13:21:00,33.4,21,1005.1
2023-10-01T13:22:00,33.5,22,1005.0
2023-10-01T13:23:00,33.6,23,1004.9
2023-10-01T13:24:00,33.7,24,1004.8
2023-10-01T13:25:00,33.8,25,1004.7
2023-10-01T13:26:00,33.9,26,1004.6
2023-10-01T13:27:00,34.0,27,1004.5
2023-10-01T13:28:00,34.1,28,1004.4
2023-10-01T13:29:00,34.2,29,1004.3
2023-10-01T13:30:00,34.3,30,1004.2
2023-10-01T13:31:00,34.4,31,1004.1
2023-10-01T13:32:00,34.5,32,1004.0
2023-10-01T13:33:00,34.6,33,1003.9
2023-10-01T13:34:00,34.7,34,1003.8
2023-10-01T13:35:00,34.8,35,1003.7
2023-10-01T13:36:00,34.9,36,1003.6
2023-10-01T13:37:00,35.0,37,1003.5
2023-10-01T13:38:00,35.1,38,1003.4
2023-10-01T13:39:00,35.2,39,1003.3